Company name,Industry,City,County,Zip code,Date,Claimants,Wages owed,Industry_clean,company_id,industry_stolen,industry_total_claimants,industry_avg_loss_per_worker,company_total_wages,company_total_claimants,company_avg_loss_per_worker,county_total_wages,county_total_cases
Snap Telecommunications Inc,Other,Rochester,Monroe County,14623,2012-05-22,2,369152.84,Other,snap-telecommunications-inc,147547188.43,98576,1496.786118629281,413384.59,20,20669.2295,9322789.01,1383
El Rey Restaurant,Restaurants - Table Service,Jamaica,Queens County,11435,2018-09-06,7,367649.47,Food Services,el-rey-restaurant,149672052.18,66102,2264.2590569120453,367649.47,7,52521.352857142854,82459395.43,4259
N Sampogna & Sons,Construction - Residential Building Construction,Westbury,Nassau County,11590,2017-09-25,91,367240.0,Construction,n-sampogna-sons,61023694.45,20078,3039.3313303117843,373720.0,94,3975.744680851064,58900272.76,3252
Jackies Kids,Retail - Misc,Bronx,Bronx County,10455,2018-03-30,9,365391.52,Retail,jackies-kids,14204964.71,7085,2004.9350331686662,365391.52,9,40599.05777777778,27745338.03,1765
Valucare Inc VI,Healthcare - Home Health Care,Hempstead,Nassau County,11550,2020-02-07,339,365264.11,Healthcare,valucare-inc-vi,86413131.15,57682,1498.0952662875768,365264.11,339,1077.475250737463,58900272.76,3252
St. Joseph's Hospital,Healthcare - Home Health Care Services,Syracuse,Onondaga County,13203,2016-01-02,105,363729.54,Healthcare,st-joseph-s-hospital,86413131.15,57682,1498.0952662875768,366871.94,106,3461.0560377358493,11795371.15,809
Design Development NYC,Construction - New Multifamily Housing Construction (Except Operative Builders),Long Island City,Queens County,11101,2016-03-22,184,363494.56,Construction,design-development-nyc,61023694.45,20078,3039.3313303117843,363494.56,184,1975.5139130434782,82459395.43,4259
House Calls Home Care,Healthcare - Home Health Care,Brooklyn,Kings County,11233,2022-09-06,7,362160.0,Healthcare,house-calls-home-care,86413131.15,57682,1498.0952662875768,532044.31,25,21281.7724,87588061.27,4731
Bill Grays Inc,Restaurants - Table Service,Webster,Monroe County,14580,2018-12-19,500,361017.74,Food Services,bill-grays-inc,149672052.18,66102,2264.2590569120453,493710.39,1025,481.6686731707317,9322789.01,1383
Queens Home Care Agency,Healthcare - Home Health Care,New York,New York County,10038,2022-10-04,8,356708.0,Healthcare,queens-home-care-agency,86413131.15,57682,1498.0952662875768,356708.0,8,44588.5,96159726.15,6430
Green Village Meat Market,Groceries/Food - Misc Supermarket,Brooklyn,Kings County,11212,2018-03-05,15,355451.69,Groceries,green-village-meat-market,20303227.0,43316,468.72349709114417,355451.69,15,23696.779333333332,87588061.27,4731
Rico Pollo #2 Restaurant Corp,Restaurants - Table Service,Brooklyn,Kings County,11208,2018-09-14,13,354736.36,Food Services,rico-pollo-2-restaurant-corp,149672052.18,66102,2264.2590569120453,354736.36,13,27287.412307692306,87588061.27,4731
Flat Rate Movers Ltd. /Flat Rate Moving Corp,Delivery/Freight Transporation - Trucking,Bronx,Bronx County,10454,2019-02-11,15,354560.09,Delivery/Transportation,flat-rate-movers-ltd-flat-rate-moving-corp,22069415.419999998,30474,724.204745684846,354560.09,15,23637.339333333333,27745338.03,1765
Skorpios Restaurant,Restaurants - Table Service,Huntington,Suffolk County,11743,2020-01-31,3,342953.65,Food Services,skorpios-restaurant,149672052.18,66102,2264.2590569120453,342953.65,3,114317.88333333335,53899585.56,3018
Magic Touch Carwash,Car Washes - Misc,Brooklyn,Kings County,11226,2018-03-02,9,341971.85,Other,magic-touch-carwash,147547188.43,98576,1496.786118629281,341971.85,9,37996.87222222222,87588061.27,4731
Oceanica Chinese Restaurant Inc.,Restaurants - General,Flushing,Queens County,11354,2013-09-04,28,340954.39,Food Services,oceanica-chinese-restaurant-inc,149672052.18,66102,2264.2590569120453,340954.39,28,12176.942500000001,82459395.43,4259
Isabella de la Rosa and Stacey Jorge,Domestic - General,Brewster,Putnam County,10509,2020-11-12,2,340820.95,Other,isabella-de-la-rosa-and-stacey-jorge,147547188.43,98576,1496.786118629281,340820.95,2,170410.475,1782613.65,155
Food Plaza Moronta,Retail - Misc,New York,New York County,10040,2022-11-17,2,340590.0,Retail,food-plaza-moronta,14204964.71,7085,2004.9350331686662,340590.0,2,170295.0,96159726.15,6430
United Alliance Enterprise,Construction - Nonresidential Building Construction,New York,New York County,10004,2015-03-13,155,340161.88,Construction,united-alliance-enterprise,61023694.45,20078,3039.3313303117843,340161.88,155,2194.5927741935484,96159726.15,6430
Evergreen Electrical Corp.,Other,Brooklyn,Kings County,11232,2015-03-05,21,336554.6,Other,evergreen-electrical-corp,147547188.43,98576,1496.786118629281,336554.6,21,16026.409523809523,87588061.27,4731
Fruits a Plenty,Other,Brooklyn,Kings County,11229,2013-04-03,11,335026.12,Other,fruits-a-plenty,147547188.43,98576,1496.786118629281,335026.12,11,30456.92,87588061.27,4731
Tonawanda Coke Corp,Manufacturing - Factory,Tonawanda,Erie County,14151,2021-05-10,37,334692.75,Manufacturing,tonawanda-coke-corp,8985644.36,6052,1484.7396497025775,334692.75,37,9045.75,15179552.14,2192
"Sutton Park Center for Nursing & Rehabilitation, LLC",Other,New Rochelle,Westchester County,10801,2014-07-17,128,331034.17,Other,sutton-park-center-for-nursing-rehabilitation-llc,147547188.43,98576,1496.786118629281,331034.17,128,2586.204453125,22226095.1,2016
Build Your Life Supermarket Inc.,Groceries/Food - Misc Supermarket,Brooklyn,Kings County,11209,2023-12-05,3,330357.45,Groceries,build-your-life-supermarket-inc,20303227.0,43316,468.72349709114417,330357.45,3,110119.15000000001,87588061.27,4731
Dennis Shipping,Other,Brooklyn,Kings County,11203,2014-01-14,41,328875.32,Other,dennis-shipping,147547188.43,98576,1496.786118629281,328875.32,41,8021.3492682926835,87588061.27,4731
"Lobster Roll, Inc.",Restaurants - Table Service,Amagansett,Suffolk County,11930,2017-03-08,92,327319.1,Food Services,lobster-roll-inc,149672052.18,66102,2264.2590569120453,327319.1,92,3557.8163043478257,53899585.56,3018
Purrfect Cleaning,Janitorial Services- Cleaning/Janitorial Services,Wading River,Suffolk County,11792,2021-01-01,15,326783.73,Other,purrfect-cleaning,147547188.43,98576,1496.786118629281,326783.73,15,21785.582,53899585.56,3018
David Barton Gym,Fitness And Recreational Sports Centers,New York,New York County,10003,2016-12-20,366,326552.74,Other,david-barton-gym,147547188.43,98576,1496.786118629281,326552.74,366,892.2206010928961,96159726.15,6430
Repairs on Wheels,Automotive - General,Brooklyn,Kings County,11218,2020-02-07,41,326063.25,Automotive,repairs-on-wheels,6809323.82,6443,1056.8560949868074,326063.25,41,7952.762195121952,87588061.27,4731
Huntington Hills Ctr for Health and Rehab,Healthcare - General,Melville,Suffolk County,11747,2016-10-26,260,325571.55,Healthcare,huntington-hills-ctr-for-health-and-rehab,86413131.15,57682,1498.0952662875768,325571.55,260,1252.1982692307693,53899585.56,3018
Gala Event & Food Artistry and Seaview Caterers of Temple Beth El,Restaurants - Table Service,Melville,Suffolk County,11747,2017-04-27,210,325000.0,Food Services,gala-event-food-artistry-and-seaview-caterers-of-temple-beth-el,149672052.18,66102,2264.2590569120453,325000.0,210,1547.6190476190477,53899585.56,3018
